feature,importance
Credit_History,0.35311802997220143
TotalIncome_log,0.12865452720556864
ApplicantIncome,0.12066601980745317
LoanAmount,0.11808357129768883
CoapplicantIncome,0.08086562432945053
Loan_Amount_Term,0.04241498478897056
Property_Area_Semiurban,0.041242264656456105
Married_Yes,0.02041105847478121
Education_Not Graduate,0.019380369463306568
Dependents_1,0.016532210277433033
Dependents_2,0.015021204534439387
Property_Area_Urban,0.014400682096045966
Self_Employed_Yes,0.010865115080893667
Dependents_3+,0.009250247107524279
Gender_Male,0.009094090907786777
